date,"song, artist",song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity_score
7/3/81,"Love On The Rocks, Neil Diamond",Love On The Rocks,Neil Diamond,0.361,0.193,9.0,-17.126,0.0,0.0387,0.889,4.4e-05,0.0879,0.164,64.572,217893.0,0.7829181494661921
9/1/82,"Sweet Dreams, Air Supply",Sweet Dreams,Air Supply,0.379,0.466,2.0,-6.856,0.0,0.0308,0.392,1.52e-06,0.241,0.327,126.223,236787.0,0.7827788649706457
9/11/85,"Broken Wings, Mr. Mister",Broken Wings,Mr. Mister,0.286,0.5,1.0,-14.281,0.0,0.0357,0.134,4.57e-05,0.108,0.443,99.162,343933.0,0.7819063004846526
8/10/88,"Look Away, Chicago",Look Away,Chicago,0.553,0.545,9.0,-7.278,1.0,0.0261,0.385,5.36e-06,0.105,0.201,85.959,242960.0,0.7783783783783784
9/4/83,"Hungry Like The Wolf, Duran Duran",Hungry Like The Wolf,Duran Duran,0.691,0.812,0.0,-7.772,1.0,0.0558,0.0433,1.16e-06,0.299,0.685,127.568,220627.0,0.7779411764705881
9/6/90,"Hold On, En Vogue",Hold On,En Vogue,0.728,0.464,1.0,-11.156,1.0,0.0605,0.0865,0.0,0.343,0.383,96.944,304467.0,0.7763975155279502
9/10/82,"Eye In The Sky, The Alan Parsons Project",Eye In The Sky,The Alan Parsons Project,0.823,0.417,2.0,-12.643,1.0,0.032,0.562,0.00098,0.0765,0.522,111.928,276280.0,0.7744733581164808
8/10/83,"Uptown Girl, Billy Joel",Uptown Girl,Billy Joel,0.701,0.944,4.0,-2.986,1.0,0.0455,0.0755,0.0,0.601,0.792,128.993,197707.0,0.7744000000000001
7/4/84,"Karma Chameleon, Culture Club",Karma Chameleon,Culture Club,0.668,0.73,10.0,-7.182,1.0,0.0366,0.225,0.0,0.188,0.894,92.049,252773.0,0.7719298245614035
9/3/85,"Like A Virgin, Madonna",Like A Virgin,Madonna,0.771,0.655,3.0,-10.842,0.0,0.0372,0.152,0.00197,0.0685,0.97,119.747,218627.0,0.7713675213675214
8/8/81,"Stop Draggin' My Heart Around, Stevie Nicks With Tom Petty And The Heartbreakers",Stop Draggin' My Heart Around,Stevie Nicks With Tom Petty And The Heartbreakers,0.631,0.597,4.0,-7.382,0.0,0.026,0.379,0.00273,0.146,0.665,107.26,244440.0,0.7709790209790209
8/8/81,"Urgent, Foreigner",Urgent,Foreigner,0.855,0.803,4.0,-5.849,0.0,0.0316,0.342,0.00732,0.0841,0.962,114.867,271200.0,0.7677793904208998
9/5/81,"Crying, Don McLean",Crying,Don McLean,0.302,0.344,0.0,-11.894,1.0,0.0277,0.466,1.53e-06,0.184,0.242,140.763,230560.0,0.7677725118483413
8/8/87,"I Wanna Dance With Somebody (Who Loves Me), Whitney Houston",I Wanna Dance With Somebody (Who Loves Me),Whitney Houston,0.709,0.824,1.0,-8.824,1.0,0.0453,0.207,0.000307,0.0888,0.867,118.818,291293.0,0.7677725118483413
8/9/90,"Do Me!, Bell Biv DeVoe",Do Me!,Bell Biv DeVoe,0.716,0.772,10.0,-6.816,0.0,0.037,0.134,2.15e-06,0.35,0.671,107.823,272440.0,0.7670364500792394
8/11/86,"Shake You Down, Gregory Abbott",Shake You Down,Gregory Abbott,0.787,0.474,11.0,-10.384,0.0,0.0265,0.523,0.0,0.235,0.826,94.995,245413.0,0.7670364500792394
8/3/86,"How Will I Know, Whitney Houston",How Will I Know,Whitney Houston,0.832,0.544,6.0,-12.697,1.0,0.0442,0.201,0.000139,0.632,0.928,119.49,275533.0,0.7655571635311144
9/7/83,"Never Gonna Let You Go, Sergio Mendes",Never Gonna Let You Go,Sergio Mendes,0.639,0.403,7.0,-12.401,1.0,0.0349,0.567,0.0,0.67,0.324,132.56,255600.0,0.7644508670520233
9/7/83,"Time (Clock Of The Heart), Culture Club",Time (Clock Of The Heart),Culture Club,0.717,0.773,0.0,-6.333,0.0,0.0378,0.508,0.0,0.0802,0.899,117.107,224493.0,0.7641509433962264
8/10/83,"Making Love Out Of Nothing At All, Air Supply",Making Love Out Of Nothing At All,Air Supply,0.388,0.72,7.0,-5.541,1.0,0.033,0.202,0.000288,0.283,0.554,141.283,341747.0,0.7631257631257632
9/10/82,"Who Can It Be Now?, Men At Work",Who Can It Be Now?,Men At Work,0.805,0.479,4.0,-14.734,1.0,0.0436,0.0627,0.000143,0.104,0.962,128.411,201293.0,0.7625523012552301
9/1/82,"Leather And Lace, Stevie Nicks With Don Henley",Leather And Lace,Stevie Nicks With Don Henley,0.553,0.398,3.0,-11.67,1.0,0.0303,0.664,0.0,0.114,0.392,76.074,229227.0,0.7584033613445378
9/1/82,"Key Largo, Bertie Higgins",Key Largo,Bertie Higgins,0.503,0.659,0.0,-6.829,1.0,0.0356,0.443,0.0,0.153,0.33,101.668,198947.0,0.7583408476104598
8/11/86,"C'est La Vie, Robbie Nevil",C'est La Vie,Robbie Nevil,0.729,0.798,7.0,-12.868,1.0,0.0552,0.533,0.00032,0.725,0.565,102.108,271667.0,0.7578796561604584
8/9/84,"Ghostbusters, Ray Parker Jr.",Ghostbusters,Ray Parker Jr.,0.788,0.846,4.0,-5.017,1.0,0.0372,0.0103,0.000281,0.26,0.738,115.636,245253.0,0.7551369863013698
9/5/81,"Angel Of The Morning, Juice Newton",Angel Of The Morning,Juice Newton,0.452,0.313,8.0,-9.309,1.0,0.026,0.433,2.6e-05,0.0772,0.344,75.806,250440.0,0.7550702028081123
9/6/90,"Vogue, Madonna",Vogue,Madonna,0.737,0.88,6.0,-6.449,1.0,0.0433,0.00379,0.00351,0.417,0.329,115.998,316813.0,0.7539267015706805
7/9/85,"The Power Of Love, Huey Lewis",The Power Of Love,Huey Lewis,0.768,0.829,5.0,-5.109,1.0,0.0313,0.0964,2.92e-05,0.097,0.962,118.773,234333.0,0.7536534446764093
8/9/84,"Missing You, John Waite",Missing You,John Waite,0.552,0.552,11.0,-9.736,0.0,0.0364,0.052,0.0,0.046,0.593,208.571,269760.0,0.7519582245430809
9/1/88,"Faith, George Michael",Faith,George Michael,0.887,0.48,11.0,-11.994,1.0,0.117,0.0094,3.58e-05,0.0662,0.607,95.846,193200.0,0.75046904315197
8/10/88,"Waiting For A Star To Fall, Boy Meets Girl",Waiting For A Star To Fall,Boy Meets Girl,0.662,0.844,3.0,-6.034,1.0,0.027,0.145,0.00011,0.137,0.592,116.346,270720.0,0.749400479616307
9/9/89,"Cold Hearted, Paula Abdul",Cold Hearted,Paula Abdul,0.879,0.679,7.0,-8.59,0.0,0.0421,0.149,0.00871,0.0787,0.724,122.38,230853.0,0.7487266553480476
9/10/82,"Tainted Love, Soft Cell",Tainted Love,Soft Cell,0.5,0.501,0.0,-8.284,0.0,0.0376,0.462,0.0,0.26,0.623,144.438,153800.0,0.748582995951417
8/1/83,"Africa, Toto",Africa,Toto,0.671,0.373,9.0,-18.064,1.0,0.0323,0.257,8.01e-05,0.0481,0.732,92.718,295893.0,0.747457627118644
8/8/81,"(There's) No Gettin' Over Me, Ronnie Milsap",(There's) No Gettin' Over Me,Ronnie Milsap,0.595,0.447,1.0,-10.342,0.0,0.0323,0.627,0.000586,0.3,0.787,200.528,199680.0,0.7462686567164178
9/12/89,"We Didn't Start The Fire, Billy Joel",We Didn't Start The Fire,Billy Joel,0.712,0.967,7.0,-5.206,1.0,0.047,0.0771,0.0,0.356,0.895,145.024,287733.0,0.7458677685950413
